timestamp,period,result,size,color
2026-04-14 10:33:49,20260414100050108,6,Big,Red
2026-04-14 10:33:49,20260414100050109,7,Big,Green
2026-04-14 10:33:49,20260414100050110,8,Big,Red
2026-04-14 10:33:49,20260414100050111,5,Big,Green+Violet
2026-04-14 10:33:49,20260414100050112,3,Small,Green
2026-04-14 10:33:49,20260414100050113,0,Small,Red+Violet
2026-04-14 10:33:49,20260414100050114,5,Big,Green+Violet
2026-04-14 10:33:49,20260414100050115,6,Big,Red
2026-04-14 10:33:49,20260414100050116,6,Big,Red
2026-04-14 10:33:49,20260414100050117,2,Small,Red
2026-04-14 10:33:48,20260414100050118,5,Big,Green+Violet
2026-04-14 10:33:48,20260414100050119,1,Small,Green
2026-04-14 10:33:48,20260414100050120,1,Small,Green
2026-04-14 10:33:48,20260414100050121,2,Small,Red
2026-04-14 10:33:48,20260414100050122,3,Small,Green
2026-04-14 10:33:48,20260414100050123,9,Big,Green
2026-04-14 10:33:48,20260414100050124,5,Big,Green+Violet
2026-04-14 10:33:48,20260414100050125,2,Small,Red
2026-04-14 10:33:48,20260414100050126,2,Small,Red
2026-04-14 10:33:48,20260414100050127,8,Big,Red
2026-04-14 10:33:46,20260414100050128,0,Small,Red+Violet
2026-04-14 10:33:46,20260414100050129,4,Small,Red
2026-04-14 10:33:46,20260414100050130,9,Big,Green
2026-04-14 10:33:46,20260414100050131,7,Big,Green
2026-04-14 10:33:46,20260414100050132,5,Big,Green+Violet
2026-04-14 10:33:46,20260414100050133,9,Big,Green
2026-04-14 10:33:46,20260414100050134,6,Big,Red
2026-04-14 10:33:46,20260414100050135,5,Big,Green+Violet
2026-04-14 10:33:46,20260414100050136,5,Big,Green+Violet
2026-04-14 10:33:46,20260414100050137,1,Small,Green
2026-04-14 10:33:45,20260414100050138,7,Big,Green
2026-04-14 10:33:45,20260414100050139,5,Big,Green+Violet
2026-04-14 10:33:45,20260414100050140,5,Big,Green+Violet
2026-04-14 10:33:45,20260414100050141,1,Small,Green
2026-04-14 10:33:45,20260414100050142,2,Small,Red
2026-04-14 10:33:45,20260414100050143,3,Small,Green
2026-04-14 10:33:45,20260414100050144,5,Big,Green+Violet
2026-04-14 10:33:45,20260414100050145,8,Big,Red
2026-04-14 10:33:45,20260414100050146,9,Big,Green
